Protein	Gene.ID	Gene	Status	CAFA
Q8N983	ENSG00000055950	MRPL43	Known mitochondrial	Da
Q8N9F0	ENSG00000185818	NAT8L	Known mitochondrial	Da
Q8N9F7	ENSG00000153982	GDPD1	Predicted mitochondrial	Da
Q8N9F7	ENSG00000153982	GDPD1	Predicted mitochondrial	Da
Q8N9F7	ENSG00000153982	GDPD1	Predicted mitochondrial	Da
Q8NA23	ENSG00000148225	WDR31	Predicted mitochondrial	NA
Q8NA23	ENSG00000148225	WDR31	Predicted mitochondrial	NA
Q8NAN2	ENSG00000180488	MIGA1	Predicted mitochondrial	Da
Q8NAN2	ENSG00000180488	MIGA1	Predicted mitochondrial	Da
Q8NB90	ENSG00000145375	SPATA5	Known mitochondrial	Da
Q8NB90	ENSG00000145375	SPATA5	Known mitochondrial	Da
Q8NB90	ENSG00000145375	SPATA5	Known mitochondrial	Da
Q8NBN7	ENSG00000160439	RDH13	Predicted mitochondrial	Da
Q8NBN7	ENSG00000160439	RDH13	Predicted mitochondrial	Da
Q8NBU5	ENSG00000138138	ATAD1	Predicted mitochondrial	Da
Q8NBU5	ENSG00000138138	ATAD1	Predicted mitochondrial	Da
Q8NBX0	ENSG00000143653	SCCPDH	Predicted mitochondrial	Da
Q8NC60	ENSG00000084092	NOA1	Known mitochondrial	Da
Q8NCN5	ENSG00000090857	PDPR	Known mitochondrial	Da
Q8NCN5	ENSG00000090857	PDPR	Known mitochondrial	Da
Q8NCS7	ENSG00000137968	SLC44A5	Predicted mitochondrial	Da
Q8NCS7	ENSG00000137968	SLC44A5	Predicted mitochondrial	Da
Q8NCS7	ENSG00000137968	SLC44A5	Predicted mitochondrial	Da
Q8NCU4	ENSG00000163617	CCDC191	Predicted mitochondrial	NA
Q8NCU4	ENSG00000163617	CCDC191	Predicted mitochondrial	NA
Q8NCW5	ENSG00000163382	NAXE	Known mitochondrial	Da
Q8NCW5	ENSG00000163382	NAXE	Known mitochondrial	Da
Q8ND61	ENSG00000131379	C3orf20	Predicted mitochondrial	Da
Q8ND61	ENSG00000131379	C3orf20	Predicted mitochondrial	Da
Q8NE22	ENSG00000155542	SETD9	Known mitochondrial	Da
Q8NE22	ENSG00000155542	SETD9	Known mitochondrial	Da
Q8NE62	ENSG00000016391	CHDH	Known mitochondrial	Da
Q8NE86	ENSG00000156026	MCU	Known mitochondrial	Da
Q8NE86	ENSG00000156026	MCU	Known mitochondrial	Da
Q8NE86	ENSG00000156026	MCU	Known mitochondrial	Da
Q8NEJ0	ENSG00000167065	DUSP18	Known mitochondrial	Da
Q8NEP7	ENSG00000162755	KLHDC9	Predicted mitochondrial	NA
Q8NEP7	ENSG00000162755	KLHDC9	Predicted mitochondrial	NA
Q8NEP7	ENSG00000162755	KLHDC9	Predicted mitochondrial	NA
Q8NF50	ENSG00000107099	DOCK8	Predicted mitochondrial	Da
Q8NF50	ENSG00000107099	DOCK8	Predicted mitochondrial	Da
Q8NF50	ENSG00000107099	DOCK8	Predicted mitochondrial	Da
Q8NF50	ENSG00000107099	DOCK8	Predicted mitochondrial	Da
Q8NFF2	ENSG00000140090	SLC24A4	Predicted mitochondrial	Da
Q8NFF2	ENSG00000140090	SLC24A4	Predicted mitochondrial	Da
Q8NFF2	ENSG00000140090	SLC24A4	Predicted mitochondrial	Da
Q8NFF2	ENSG00000140090	SLC24A4	Predicted mitochondrial	Da
Q8NFF5	ENSG00000160688	FLAD1	Known mitochondrial	Da
Q8NFF5	ENSG00000160688	FLAD1	Known mitochondrial	Da
Q8NFF5	ENSG00000160688	FLAD1	Known mitochondrial	Da
Q8NFF5	ENSG00000160688	FLAD1	Known mitochondrial	Da
Q8NFF5	ENSG00000160688	FLAD1	Known mitochondrial	Da
Q8NFV4	ENSG00000106077	ABHD11	Known mitochondrial	NA
Q8NFV4	ENSG00000106077	ABHD11	Known mitochondrial	NA
Q8NFV4	ENSG00000106077	ABHD11	Known mitochondrial	NA
Q8NFV4	ENSG00000106077	ABHD11	Known mitochondrial	NA
Q8NFV4	ENSG00000106077	ABHD11	Known mitochondrial	NA
Q8NFV4	ENSG00000106077	ABHD11	Known mitochondrial	NA
Q8NHU6	ENSG00000196116	TDRD7	Known mitochondrial	Da
Q8NHU6	ENSG00000196116	TDRD7	Known mitochondrial	Da
Q8NHU6	ENSG00000196116	TDRD7	Known mitochondrial	Da
Q8NI37	ENSG00000196850	PPTC7	Known mitochondrial	NA
Q8NI60	ENSG00000163050	COQ8A	Known mitochondrial	Da
Q8NI60	ENSG00000163050	COQ8A	Known mitochondrial	Da
Q8NI60	ENSG00000163050	COQ8A	Known mitochondrial	Da
Q8NI60	ENSG00000163050	COQ8A	Known mitochondrial	Da
Q8TAA5	ENSG00000164284	GRPEL2	Known mitochondrial	Da
Q8TAA5	ENSG00000164284	GRPEL2	Known mitochondrial	Da
Q8TAE8	ENSG00000179271	GADD45GIP1	Known mitochondrial	Da
Q8TB22	ENSG00000006282	SPATA20	Known mitochondrial	NA
Q8TB22	ENSG00000006282	SPATA20	Known mitochondrial	NA
Q8TB22	ENSG00000006282	SPATA20	Known mitochondrial	NA
Q8TB22	ENSG00000006282	SPATA20	Known mitochondrial	NA
Q8TB36	ENSG00000104381	GDAP1	Known mitochondrial	Da
Q8TB36	ENSG00000104381	GDAP1	Known mitochondrial	Da
Q8TB37	ENSG00000151413	NUBPL	Known mitochondrial	Da
Q8TB37	ENSG00000151413	NUBPL	Known mitochondrial	Da
Q8TB45	ENSG00000155792	DEPTOR	Predicted mitochondrial	Da
Q8TB45	ENSG00000155792	DEPTOR	Predicted mitochondrial	Da
Q8TBB7	ENSG00000139990	DCAF5	Predicted mitochondrial	NA
Q8TBP6	ENSG00000075303	SLC25A40	Known mitochondrial	NA
Q8TBZ9	ENSG00000164645	TEX47	Predicted mitochondrial	NA
Q8TC57	ENSG00000159374	M1AP	Predicted mitochondrial	NA
Q8TC57	ENSG00000159374	M1AP	Predicted mitochondrial	NA
Q8TC57	ENSG00000159374	M1AP	Predicted mitochondrial	NA
Q8TC57	ENSG00000159374	M1AP	Predicted mitochondrial	NA
Q8TC71	ENSG00000163071	SPATA18	Known mitochondrial	Da
Q8TC71	ENSG00000163071	SPATA18	Known mitochondrial	Da
Q8TCC3	ENSG00000185414	MRPL30	Known mitochondrial	Da
Q8TCC3	ENSG00000185414	MRPL30	Known mitochondrial	Da
Q8TCC3	ENSG00000185414	MRPL30	Known mitochondrial	Da
Q8TCS8	ENSG00000138035	PNPT1	Known mitochondrial	Da
Q8TCT0	ENSG00000100422	CERK	Predicted mitochondrial	Da
Q8TCT0	ENSG00000100422	CERK	Predicted mitochondrial	Da
Q8TD22	ENSG00000144040	SFXN5	Known mitochondrial	NA
Q8TD30	ENSG00000166123	GPT2	Known mitochondrial	Da
Q8TD30	ENSG00000166123	GPT2	Known mitochondrial	Da
Q8TD49	ENSG00000197006	METTL9	Predicted mitochondrial	NA
Q8TDB4	ENSG00000137463	MGARP	Known mitochondrial	Da
Q8TEL6	ENSG00000100991	TRPC4AP	Predicted mitochondrial	Da
Q8TEL6	ENSG00000100991	TRPC4AP	Predicted mitochondrial	Da
Q8TEL6	ENSG00000100991	TRPC4AP	Predicted mitochondrial	Da
Q8TEW6	ENSG00000125170	DOK4	Predicted mitochondrial	NA
Q8TF08	ENSG00000170516	COX7B2	Known mitochondrial	NA
Q8WTR2	ENSG00000162999	DUSP19	Predicted mitochondrial	NA
Q8WTR2	ENSG00000162999	DUSP19	Predicted mitochondrial	NA
Q8WTV1	ENSG00000041988	THAP3	Predicted mitochondrial	NA
Q8WTV1	ENSG00000041988	THAP3	Predicted mitochondrial	NA
Q8WTV1	ENSG00000041988	THAP3	Predicted mitochondrial	NA
Q8WUK0	ENSG00000110536	PTPMT1	Known mitochondrial	Da
Q8WUK0	ENSG00000110536	PTPMT1	Known mitochondrial	Da
Q8WUK0	ENSG00000110536	PTPMT1	Known mitochondrial	Da
Q8WUT9	ENSG00000077713	SLC25A43	Known mitochondrial	NA
Q8WUT9	ENSG00000077713	SLC25A43	Known mitochondrial	NA
Q8WV60	ENSG00000049883	PTCD2	Known mitochondrial	Da
Q8WV60	ENSG00000049883	PTCD2	Known mitochondrial	Da
Q8WV60	ENSG00000049883	PTCD2	Known mitochondrial	Da
Q8WV74	ENSG00000167799	NUDT8	Known mitochondrial	NA
Q8WV74	ENSG00000167799	NUDT8	Known mitochondrial	NA
Q8WV90	ENSG00000244005	NFS1	Known mitochondrial	NA
Q8WV93	ENSG00000135537	AFG1L	Known mitochondrial	NA
Q8WVC6	ENSG00000172992	DCAKD	Predicted mitochondrial	Da
Q8WVC6	ENSG00000172992	DCAKD	Predicted mitochondrial	Da
Q8WVI0	ENSG00000168273	SMIM4	Predicted mitochondrial	NA
Q8WVM0	ENSG00000029639	TFB1M	Known mitochondrial	Da
Q8WW59	ENSG00000176422	SPRYD4	Known mitochondrial	Da
Q8WWC4	ENSG00000162972	MAIP1	Known mitochondrial	NA
Q8WWI5	ENSG00000070214	SLC44A1	Known mitochondrial	Da
Q8WWI5	ENSG00000070214	SLC44A1	Known mitochondrial	Da
Q8WWI5	ENSG00000070214	SLC44A1	Known mitochondrial	Da
Q8WWR8	ENSG00000204099	NEU4	Known mitochondrial	Da
Q8WWR8	ENSG00000204099	NEU4	Known mitochondrial	Da
Q8WWR8	ENSG00000204099	NEU4	Known mitochondrial	Da
Q8WWV3	ENSG00000130347	RTN4IP1	Known mitochondrial	NA
Q8WWV3	ENSG00000130347	RTN4IP1	Known mitochondrial	NA
Q8WWV3	ENSG00000130347	RTN4IP1	Known mitochondrial	NA
Q8WXG1	ENSG00000134321	RSAD2	Known mitochondrial	Da
Q8WXQ4	ENSG00000125375	ATP5S	Known mitochondrial	NA
Q8WY22	ENSG00000184992	BRI3BP	Predicted mitochondrial	Da
Q8WYH2	ENSG00000115468	EFHD1	Known mitochondrial	NA
Q8WYQ3	ENSG00000250479	CHCHD10	Known mitochondrial	Da
Q92506	ENSG00000204228	HSD17B8	Known mitochondrial	Da
Q92523	ENSG00000205560	CPT1B	Known mitochondrial	Da
Q92523	ENSG00000205560	CPT1B	Known mitochondrial	Da
Q92523	ENSG00000205560	CPT1B	Known mitochondrial	Da
Q92523	ENSG00000205560	CPT1B	Known mitochondrial	Da
Q92544	ENSG00000101337	TM9SF4	Predicted mitochondrial	NA
Q92552	ENSG00000113048	MRPS27	Known mitochondrial	Da
Q92552	ENSG00000113048	MRPS27	Known mitochondrial	Da
Q92558	ENSG00000112290	WASF1	Known mitochondrial	Da
Q92581	ENSG00000198689	SLC9A6	Known mitochondrial	Da
Q92581	ENSG00000198689	SLC9A6	Known mitochondrial	Da
Q92581	ENSG00000198689	SLC9A6	Known mitochondrial	Da
Q92665	ENSG00000102738	MRPS31	Known mitochondrial	Da
Q92667	ENSG00000121057	AKAP1	Known mitochondrial	Da
Q92667	ENSG00000121057	AKAP1	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92731	ENSG00000140009	ESR2	Known mitochondrial	Da
Q92876	ENSG00000167755	KLK6	Known mitochondrial	Da
Q92876	ENSG00000167755	KLK6	Known mitochondrial	Da
Q92876	ENSG00000167755	KLK6	Known mitochondrial	Da
Q92934	ENSG00000002330	BAD	Known mitochondrial	Da
Q92947	ENSG00000105607	GCDH	Known mitochondrial	Da
Q92947	ENSG00000105607	GCDH	Known mitochondrial	Da
Q969G6	ENSG00000135002	RFK	Predicted mitochondrial	Da
Q969M1	ENSG00000158882	TOMM40L	Known mitochondrial	Da
Q969M1	ENSG00000158882	TOMM40L	Known mitochondrial	Da
Q969P6	ENSG00000184428	TOP1MT	Known mitochondrial	Da
Q969P6	ENSG00000184428	TOP1MT	Known mitochondrial	Da
Q969Q0	ENSG00000165502	RPL36AL	Predicted mitochondrial	Da
Q969S9	ENSG00000164347	GFM2	Known mitochondrial	Da
Q969S9	ENSG00000164347	GFM2	Known mitochondrial	Da
Q969S9	ENSG00000164347	GFM2	Known mitochondrial	Da
Q969S9	ENSG00000164347	GFM2	Known mitochondrial	Da
Q969S9	ENSG00000164347	GFM2	Known mitochondrial	Da
Q969V5	ENSG00000090432	MUL1	Known mitochondrial	Da
Q969Y2	ENSG00000130299	GTPBP3	Known mitochondrial	Da
Q969Y2	ENSG00000130299	GTPBP3	Known mitochondrial	Da
Q969Y2	ENSG00000130299	GTPBP3	Known mitochondrial	Da
Q969Y2	ENSG00000130299	GTPBP3	Known mitochondrial	Da
Q969Z0	ENSG00000136270	TBRG4	Known mitochondrial	Da
Q969Z0	ENSG00000136270	TBRG4	Known mitochondrial	Da
Q969Z3	ENSG00000117791	Mar-02	Known mitochondrial	Da
Q969Z3	ENSG00000117791	Mar-02	Known mitochondrial	Da
Q96A00	ENSG00000167641	PPP1R14A	Predicted mitochondrial	Da
Q96A00	ENSG00000167641	PPP1R14A	Predicted mitochondrial	Da
Q96A26	ENSG00000114023	FAM162A	Known mitochondrial	Da
Q96A35	ENSG00000143314	MRPL24	Known mitochondrial	Da
Q96A46	ENSG00000155287	SLC25A28	Known mitochondrial	NA
Q96A46	ENSG00000155287	SLC25A28	Known mitochondrial	NA
Q96A46	ENSG00000155287	SLC25A28	Known mitochondrial	NA
Q96A73	ENSG00000122203	KIAA1191	Predicted mitochondrial	NA
Q96A73	ENSG00000122203	KIAA1191	Predicted mitochondrial	NA
Q96A73	ENSG00000122203	KIAA1191	Predicted mitochondrial	NA
Q96AB3	ENSG00000063241	ISOC2	Known mitochondrial	Da
Q96AB3	ENSG00000063241	ISOC2	Known mitochondrial	Da
Q96AB3	ENSG00000063241	ISOC2	Known mitochondrial	Da
Q96AG3	ENSG00000164209	SLC25A46	Known mitochondrial	Da
Q96AG3	ENSG00000164209	SLC25A46	Known mitochondrial	Da
Q96AG3	ENSG00000164209	SLC25A46	Known mitochondrial	Da
Q96AG4	ENSG00000108829	LRRC59	Known mitochondrial	Da
Q96AN5	ENSG00000161558	TMEM143	Predicted mitochondrial	Da
Q96AN5	ENSG00000161558	TMEM143	Predicted mitochondrial	Da
Q96AN5	ENSG00000161558	TMEM143	Predicted mitochondrial	Da
Q96AQ8	ENSG00000050393	MCUR1	Known mitochondrial	Da
Q96AQ8	ENSG00000050393	MCUR1	Known mitochondrial	Da
Q96AY3	ENSG00000141756	FKBP10	Known mitochondrial	NA
Q96AY3	ENSG00000141756	FKBP10	Known mitochondrial	NA
Q96B49	ENSG00000214736	TOMM6	Known mitochondrial	Da
Q96B77	ENSG00000184857	TMEM186	Predicted mitochondrial	Da
Q96BP2	ENSG00000172586	CHCHD1	Known mitochondrial	Da
Q96BQ5	ENSG00000164366	CCDC127	Known mitochondrial	NA
Q96BR5	ENSG00000162377	COA7	Known mitochondrial	NA
Q96BW9	ENSG00000144559	TAMM41	Known mitochondrial	NA
Q96BW9	ENSG00000144559	TAMM41	Known mitochondrial	NA
Q96BW9	ENSG00000144559	TAMM41	Known mitochondrial	NA
Q96BY7	ENSG00000066739	ATG2B	Predicted mitochondrial	NA
Q96C01	ENSG00000035141	FAM136A	Known mitochondrial	Da
Q96C03	ENSG00000177427	MIEF2	Known mitochondrial	Da
Q96C03	ENSG00000177427	MIEF2	Known mitochondrial	Da
Q96C03	ENSG00000177427	MIEF2	Known mitochondrial	Da
Q96C36	ENSG00000143811	PYCR2	Known mitochondrial	Da
Q96CB9	ENSG00000117481	NSUN4	Known mitochondrial	Da
Q96CB9	ENSG00000117481	NSUN4	Known mitochondrial	Da
Q96CB9	ENSG00000117481	NSUN4	Known mitochondrial	Da
Q96CB9	ENSG00000117481	NSUN4	Known mitochondrial	Da
Q96CM3	ENSG00000165526	RPUSD4	Known mitochondrial	NA
Q96CM3	ENSG00000165526	RPUSD4	Known mitochondrial	NA
Q96CM4	ENSG00000171773	NXNL1	Known mitochondrial	NA
Q96CM8	ENSG00000167107	ACSF2	Known mitochondrial	Da
Q96CM8	ENSG00000167107	ACSF2	Known mitochondrial	Da
Q96CM8	ENSG00000167107	ACSF2	Known mitochondrial	Da
Q96CM8	ENSG00000167107	ACSF2	Known mitochondrial	Da
Q96CN4	ENSG00000142459	EVI5L	Predicted mitochondrial	NA
Q96CN4	ENSG00000142459	EVI5L	Predicted mitochondrial	NA
Q96CQ1	ENSG00000114120	SLC25A36	Known mitochondrial	Da
Q96CQ1	ENSG00000114120	SLC25A36	Known mitochondrial	Da
Q96CQ1	ENSG00000114120	SLC25A36	Known mitochondrial	Da
Q96CQ1	ENSG00000114120	SLC25A36	Known mitochondrial	Da
Q96CT2	ENSG00000119771	KLHL29	Predicted mitochondrial	NA
Q96CT2	ENSG00000119771	KLHL29	Predicted mitochondrial	NA
Q96CU9	ENSG00000110074	FOXRED1	Known mitochondrial	Da
Q96CU9	ENSG00000110074	FOXRED1	Known mitochondrial	Da
Q96CU9	ENSG00000110074	FOXRED1	Known mitochondrial	Da
Q96CW1	ENSG00000161203	AP2M1	Predicted mitochondrial	Da
Q96CW1	ENSG00000161203	AP2M1	Predicted mitochondrial	Da
Q96D53	ENSG00000123815	COQ8B	Known mitochondrial	NA
Q96D53	ENSG00000123815	COQ8B	Known mitochondrial	NA
Q96DA6	ENSG00000205981	DNAJC19	Known mitochondrial	Da
Q96DA6	ENSG00000205981	DNAJC19	Known mitochondrial	Da
Q96DB5	ENSG00000176623	RMDN1	Known mitochondrial	NA
Q96DB5	ENSG00000176623	RMDN1	Known mitochondrial	NA
Q96DB5	ENSG00000176623	RMDN1	Known mitochondrial	NA
Q96DC0	ENSG00000167969	ECI1	Known mitochondrial	NA
Q96DC8	ENSG00000134463	ECHDC3	Known mitochondrial	NA
Q96DC8	ENSG00000134463	ECHDC3	Known mitochondrial	NA
Q96DP5	ENSG00000103707	MTFMT	Known mitochondrial	NA
Q96DP5	ENSG00000103707	MTFMT	Known mitochondrial	NA
Q96DU9	ENSG00000174740	PABPC5	Known mitochondrial	NA
Q96DU9	ENSG00000174740	PABPC5	Known mitochondrial	NA
Q96DV4	ENSG00000204316	MRPL38	Known mitochondrial	Da
Q96DV4	ENSG00000204316	MRPL38	Known mitochondrial	Da
Q96DW6	ENSG00000144659	SLC25A38	Known mitochondrial	NA
Q96DX5	ENSG00000102048	ASB9	Known mitochondrial	NA
Q96DX5	ENSG00000102048	ASB9	Known mitochondrial	NA
Q96DX5	ENSG00000102048	ASB9	Known mitochondrial	NA
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E11	ENSG00000148187	MRRF	Known mitochondrial	Da
Q96E29	ENSG00000156469	MTERF3	Known mitochondrial	Da
Q96E29	ENSG00000156469	MTERF3	Known mitochondrial	Da
Q96E29	ENSG00000156469	MTERF3	Known mitochondrial	Da
Q96E52	ENSG00000162600	OMA1	Known mitochondrial	Da
Q96E52	ENSG00000162600	OMA1	Known mitochondrial	Da
Q96EH3	ENSG00000156928	MALSU1	Known mitochondrial	Da
Q96EL2	ENSG00000062582	MRPS24	Known mitochondrial	Da
Q96EL3	ENSG00000204822	MRPL53	Known mitochondrial	Da
Q96ER9	ENSG00000164051	CCDC51	Known mitochondrial	Da
Q96ER9	ENSG00000164051	CCDC51	Known mitochondrial	Da
Q96EX1	ENSG00000163866	SMIM12	Predicted mitochondrial	NA
Q96EY1	ENSG00000103423	DNAJA3	Known mitochondrial	Da
Q96EY1	ENSG00000103423	DNAJA3	Known mitochondrial	Da
Q96EY1	ENSG00000103423	DNAJA3	Known mitochondrial	Da
Q96EY7	ENSG00000132300	PTCD3	Known mitochondrial	Da
Q96EY7	ENSG00000132300	PTCD3	Known mitochondrial	Da
Q96EY8	ENSG00000139428	MMAB	Known mitochondrial	Da
Q96F10	ENSG00000141504	SAT2	Known mitochondrial	Da
Q96FC7	ENSG00000165443	PHYHIPL	Predicted mitochondrial	Da
Q96FC7	ENSG00000165443	PHYHIPL	Predicted mitochondrial	Da
Q96FC7	ENSG00000165443	PHYHIPL	Predicted mitochondrial	Da
Q96FY5	ENSG00000110011	DNAJC4	Predicted mitochondrial	NA
Q96GC5	ENSG00000175581	MRPL48	Known mitochondrial	Da
Q96GC5	ENSG00000175581	MRPL48	Known mitochondrial	Da
Q96GE9	ENSG00000137038	TMEM261	Predicted mitochondrial	NA
Q96GE9	ENSG00000137038	TMEM261	Predicted mitochondrial	NA
Q96GF1	ENSG00000138942	RNF185	Known mitochondrial	Da
Q96GF1	ENSG00000138942	RNF185	Known mitochondrial	Da
Q96GJ1	ENSG00000188917	TRMT2B	Known mitochondrial	NA
Q96GJ1	ENSG00000188917	TRMT2B	Known mitochondrial	NA
Q96GJ1	ENSG00000188917	TRMT2B	Known mitochondrial	NA
Q96GK7	ENSG00000115042	FAHD2A	Known mitochondrial	NA
Q96GW1	ENSG00000166598	HSP90B1	Predicted mitochondrial	NA
Q96GW9	ENSG00000247626	MARS2	Known mitochondrial	Da
Q96H55	ENSG00000278259	MYO19	Known mitochondrial	Da
Q96H55	ENSG00000278259	MYO19	Known mitochondrial	Da
Q96H55	ENSG00000278259	MYO19	Known mitochondrial	Da
Q96H55	ENSG00000278259	MYO19	Known mitochondrial	Da
Q96H78	ENSG00000160785	SLC25A44	Known mitochondrial	NA
Q96H96	ENSG00000173085	COQ2	Known mitochondrial	Da
Q96H96	ENSG00000173085	COQ2	Known mitochondrial	Da
Q96HJ9	ENSG00000164898	FMC1	Known mitochondrial	NA
Q96HJ9	ENSG00000164898	FMC1	Known mitochondrial	NA
Q96HP4	ENSG00000154814	OXNAD1	Known mitochondrial	NA
Q96HS1	ENSG00000247077	PGAM5	Known mitochondrial	Da
Q96HS1	ENSG00000247077	PGAM5	Known mitochondrial	Da
Q96HY7	ENSG00000181192	DHTKD1	Known mitochondrial	Da
Q96I23	ENSG00000145337	PYURF	Known mitochondrial	Da
Q96I36	ENSG00000178449	COX14	Known mitochondrial	Da
Q96I45	ENSG00000244187	TMEM141	Predicted mitochondrial	NA
Q96I51	ENSG00000274523	RCC1L	Known mitochondrial	NA
Q96I51	ENSG00000274523	RCC1L	Known mitochondrial	NA
Q96I51	ENSG00000274523	RCC1L	Known mitochondrial	NA
Q96I59	ENSG00000137513	NARS2	Known mitochondrial	Da
Q96I59	ENSG00000137513	NARS2	Known mitochondrial	Da
Q96I63	ENSG00000136758	YME1L1	Known mitochondrial	NA
Q96I99	ENSG00000172340	SUCLG2	Known mitochondrial	Da
Q96I99	ENSG00000172340	SUCLG2	Known mitochondrial	Da
Q96IK0	ENSG00000091947	TMEM101	Predicted mitochondrial	NA
Q96IL0	ENSG00000256053	APOPT1	Known mitochondrial	NA
Q96IR7	ENSG00000186603	HPDL	Predicted mitochondrial	NA
Q96IX5	ENSG00000173915	USMG5	Known mitochondrial	Da
Q96J65	ENSG00000140798	ABCC12	Predicted mitochondrial	NA
Q96J65	ENSG00000140798	ABCC12	Predicted mitochondrial	NA
Q96J65	ENSG00000140798	ABCC12	Predicted mitochondrial	NA
Q96J65	ENSG00000140798	ABCC12	Predicted mitochondrial	NA
Q96J65	ENSG00000140798	ABCC12	Predicted mitochondrial	NA
Q96JK2	ENSG00000139990	DCAF5	Predicted mitochondrial	Da
Q96JK2	ENSG00000139990	DCAF5	Predicted mitochondrial	Da
Q96JK2	ENSG00000139990	DCAF5	Predicted mitochondrial	Da
Q96JX3	ENSG00000122335	SERAC1	Known mitochondrial	NA
Q96JX3	ENSG00000122335	SERAC1	Known mitochondrial	NA
Q96JX3	ENSG00000122335	SERAC1	Known mitochondrial	NA
Q96K37	ENSG00000127526	SLC35E1	Predicted mitochondrial	NA
Q96K37	ENSG00000127526	SLC35E1	Predicted mitochondrial	NA
Q96K37	ENSG00000127526	SLC35E1	Predicted mitochondrial	NA
Q96KJ9	ENSG00000131055	COX4I2	Known mitochondrial	Da
Q96KR6	ENSG00000124098	FAM210B	Predicted mitochondrial	NA
Q96LJ7	ENSG00000157379	DHRS1	Predicted mitochondrial	Da
Q96LL9	ENSG00000176410	DNAJC30	Known mitochondrial	NA
Q96LU5	ENSG00000148950	IMMP1L	Known mitochondrial	NA
Q96LW4	ENSG00000164306	PRIMPOL	Known mitochondrial	Da
Q96LW4	ENSG00000164306	PRIMPOL	Known mitochondrial	Da
Q96LW7	ENSG00000165233	CARD19	Predicted mitochondrial	NA
Q96LW7	ENSG00000165233	CARD19	Predicted mitochondrial	NA
Q96MF6	ENSG00000135469	COQ10A	Known mitochondrial	NA
Q96MF6	ENSG00000135469	COQ10A	Known mitochondrial	NA
Q96MF6	ENSG00000135469	COQ10A	Known mitochondrial	NA
Q96N28	ENSG00000141391	PRELID3A	Predicted mitochondrial	NA
Q96N28	ENSG00000141391	PRELID3A	Predicted mitochondrial	NA
Q96NB2	ENSG00000156398	SFXN2	Predicted mitochondrial	NA
Q96ND0	ENSG00000177150	FAM210A	Predicted mitochondrial	NA
Q96NH3	ENSG00000146350	TBC1D32	Predicted mitochondrial	NA
Q96NH3	ENSG00000146350	TBC1D32	Predicted mitochondrial	NA
Q96NH3	ENSG00000146350	TBC1D32	Predicted mitochondrial	NA
Q96NL0	ENSG00000105784	RUNDC3B	Predicted mitochondrial	NA
Q96NL0	ENSG00000105784	RUNDC3B	Predicted mitochondrial	NA
Q96NL0	ENSG00000105784	RUNDC3B	Predicted mitochondrial	NA
Q96NL0	ENSG00000105784	RUNDC3B	Predicted mitochondrial	NA
Q96NL0	ENSG00000105784	RUNDC3B	Predicted mitochondrial	NA
Q96NN9	ENSG00000183773	AIFM3	Known mitochondrial	Da
Q96NN9	ENSG00000183773	AIFM3	Known mitochondrial	Da
Q96NN9	ENSG00000183773	AIFM3	Known mitochondrial	Da
Q96PE7	ENSG00000124370	MCEE	Known mitochondrial	Da
Q96PG8	ENSG00000105327	BBC3	Known mitochondrial	Da
Q96PG8	ENSG00000105327	BBC3	Known mitochondrial	Da
Q96PN6	ENSG00000143199	ADCY10	Known mitochondrial	Da
Q96PN6	ENSG00000143199	ADCY10	Known mitochondrial	Da
Q96PN6	ENSG00000143199	ADCY10	Known mitochondrial	Da
Q96PN6	ENSG00000143199	ADCY10	Known mitochondrial	Da
Q96Q11	ENSG00000072756	TRNT1	Known mitochondrial	Da
Q96Q11	ENSG00000072756	TRNT1	Known mitochondrial	Da
Q96Q11	ENSG00000072756	TRNT1	Known mitochondrial	Da
Q96Q83	ENSG00000166199	ALKBH3	Predicted mitochondrial	Da
Q96Q83	ENSG00000166199	ALKBH3	Predicted mitochondrial	Da
Q96QE5	ENSG00000172171	TEFM	Known mitochondrial	Da
Q96QE5	ENSG00000172171	TEFM	Known mitochondrial	Da
Q96RL7	ENSG00000197969	VPS13A	Predicted mitochondrial	NA
Q96RL7	ENSG00000197969	VPS13A	Predicted mitochondrial	NA
Q96RL7	ENSG00000197969	VPS13A	Predicted mitochondrial	NA
Q96RL7	ENSG00000197969	VPS13A	Predicted mitochondrial	NA
Q96RP9	ENSG00000168827	GFM1	Known mitochondrial	Da
Q96RP9	ENSG00000168827	GFM1	Known mitochondrial	Da
